YEAR,Region,Country,LOC,Block,HYBRID,Pre-commercial name,Commercial name,Family relatedness,density,mean_yield,Comment,NEW LOC,NEW Block
2016,Early central East,Poland,POLAND3,1,EQ3139,EQ3139,EQ3139,Female Group 31,110,15.74,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,RICARDINIO,RICARDINIO,RICARDINIO,,50,11.76585366,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,RICARDINIO,RICARDINIO,RICARDINIO,,65,12.64102564,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,RICARDINIO,RICARDINIO,RICARDINIO,,80,13.94090909,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,RICARDINIO,RICARDINIO,RICARDINIO,,95,14.63902439,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,RICARDINIO,RICARDINIO,RICARDINIO,,110,15.6974359,,POLAND3,1
2016,Early central East,Poland,POLAND3,2,AMBROSINI,AMBROSINI,AMBROSINI,,50,10.0875,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,AMBROSINI,AMBROSINI,AMBROSINI,,65,11.36052632,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,AMBROSINI,AMBROSINI,AMBROSINI,,80,13.06904762,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,AMBROSINI,AMBROSINI,AMBROSINI,,95,13.90243902,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,AMBROSINI,AMBROSINI,AMBROSINI,,110,14.00487805,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC2931,EL3023,DKC2931,Female Group 25,50,9.578947368,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC2931,EL3023,DKC2931,Female Group 25,65,10.4025641,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC2931,EL3023,DKC2931,Female Group 25,80,11.71081081,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC2931,EL3023,DKC2931,Female Group 25,95,13.1675,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC2931,EL3023,DKC2931,Female Group 25,110,13.27368421,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC2972,EQ2942,DKC2972,Female Group 24,50,10.66046512,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC2972,EQ2942,DKC2972,Female Group 24,65,12.10952381,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC2972,EQ2942,DKC2972,Female Group 24,80,13.55263158,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC2972,EQ2942,DKC2972,Female Group 24,95,14.265,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC2972,EQ2942,DKC2972,Female Group 24,110,14.1,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,DKC3050,EN2930,DKC3050,Female Group 31,50,12.4,,POLAND3,2
